starttime,speed,volume
"5/5/2022 12:00 am",54.63,1096
"5/6/2022 12:00 am",52.51,1182
"5/7/2022 12:00 am",55.29,1030
"5/8/2022 12:00 am",55.90,960
"5/9/2022 12:00 am",56.23,1140
"5/10/2022 12:00 am",54.49,1188
"5/11/2022 12:00 am",55.79,1175
"5/12/2022 12:00 am",54.84,1117
"5/13/2022 12:00 am",54.25,1218
"5/14/2022 12:00 am",56.38,1137
"5/15/2022 12:00 am",57.40,984
"5/16/2022 12:00 am",56.68,1141
"5/17/2022 12:00 am",55.90,1158
"5/18/2022 12:00 am",55.16,1158
"5/19/2022 12:00 am",54.70,1110
"5/20/2022 12:00 am",55.76,1222
"5/21/2022 12:00 am",56.49,1174
"5/22/2022 12:00 am",58.53,988
"5/23/2022 12:00 am",56.12,1133
"5/24/2022 12:00 am",56.20,1149
"5/25/2022 12:00 am",55.57,1185
"5/26/2022 12:00 am",54.63,1134
"5/27/2022 12:00 am",54.38,1223
"5/28/2022 12:00 am",55.92,1104
"5/29/2022 12:00 am",58.06,987
"5/30/2022 12:00 am",58.81,978
"5/31/2022 12:00 am",55.11,1145
"6/1/2022 12:00 am",56.01,1196
"6/2/2022 12:00 am",55.63,1186
"6/3/2022 12:00 am",54.86,1107
"6/4/2022 12:00 am",54.71,1122
"6/5/2022 12:00 am",57.77,998
"6/6/2022 12:00 am",56.69,1137
