starttime,speed,volume
"5/5/2022 12:00 am",56.77,741
"5/6/2022 12:00 am",54.84,750
"5/7/2022 12:00 am",59.20,623
"5/8/2022 12:00 am",59.29,615
"5/9/2022 12:00 am",57.40,707
"5/10/2022 12:00 am",57.37,744
"5/11/2022 12:00 am",57.14,737
"5/12/2022 12:00 am",56.76,732
"5/13/2022 12:00 am",57.25,792
"5/14/2022 12:00 am",59.06,676
"5/15/2022 12:00 am",59.02,620
"5/16/2022 12:00 am",57.47,711
"5/17/2022 12:00 am",57.19,737
"5/18/2022 12:00 am",56.80,736
"5/19/2022 12:00 am",53.62,698
"5/20/2022 12:00 am",57.52,781
"5/21/2022 12:00 am",59.13,709
"5/22/2022 12:00 am",59.31,634
"5/23/2022 12:00 am",57.34,704
"5/24/2022 12:00 am",57.36,722
"5/25/2022 12:00 am",57.27,749
"5/26/2022 12:00 am",57.18,752
"5/27/2022 12:00 am",56.36,787
"5/28/2022 12:00 am",58.93,641
"5/29/2022 12:00 am",59.31,580
"5/30/2022 12:00 am",59.04,535
"5/31/2022 12:00 am",56.99,657
"6/1/2022 12:00 am",57.13,741
"6/2/2022 12:00 am",57.48,746
"6/3/2022 12:00 am",57.24,775
"6/4/2022 12:00 am",59.06,665
"6/5/2022 12:00 am",59.34,604
"6/6/2022 12:00 am",57.26,720
